,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
rp.session.two.jdakka.017624.0001,9.291300058364866,12395.021199941635,3406.370199918747,42.492400169372566,0.0007998943328857423,0.5369999408721924,1522725209.6215,3370.268499851227,2.005499124526977,37.59480166435241,1837.6163997650146,1.5337004661560059,100.59389638900757,exp7,6400,6400,1,1,1,800,800,0,rp.session.two.jdakka.017624.0001,43.98399996757507,0,0,0,6.28909969329834,3448.60239982605,3395.5734000205994,10.905096769332886,40.1942024230957,0,72.48229932785034,0,68.75210022926329,68.20809769630432,3370.283100128174,0
rp.session.two.jdakka.017623.0002,8.011399984359741,17676.730200052258,3426.654699802399,41.13090014457703,0.0009999275207519533,0.1045999526977539,1522640687.0981002,3391.0289001464844,0.8507997989654541,19.5165011882782,1880.2640008926392,0.6289002895355225,46.11930108070374,exp5,3200,3200,1,1,1,400,400,0,rp.session.two.jdakka.017623.0002,45.735399961471565,0,0,0,7.314899921417236,3472.5016000270844,3416.305599927902,4.311398506164552,20.338999271392826,0,35.22349858283997,0,33.369503021240234,33.212498903274536,3391.038199901581,0
rp.session.two.jdakka.017623.0001,16.36929988861084,50989.82779979706,3877.111200094223,29.690800189971924,0.0009000301361083984,0.10299992561340332,1522641008.1381,3844.01189994812,0.4780006408691406,11.708600759506226,2209.208999633789,0.27049756050109863,20.43630123138428,exp1,1600,1600,1,1,1,200,200,0,rp.session.two.jdakka.017623.0001,90.58700013160706,0,0,0,21.83520007133484,3986.378900051117,3869.113199949265,2.0373992919921875,12.104499816894533,0,28.149799823760986,0,25.57360100746155,26.895999908447266,3844.0204000473022,0
rp.session.two.jdakka.017623.0005,7.83050012588501,10468.49160003662,3306.153399944305,50.43879985809326,0.0018000602722167969,0.5564999580383301,1522694105.8170002,3275.107899904251,2.357499599456787,35.73839998245239,1750.13290143013,1.54590106010437,82.1343972682953,exp6,6400,6400,1,1,1,800,800,0,rp.session.two.jdakka.017623.0005,41.63209986686706,0,0,0,7.675600051879883,3359.2960999011993,3299.626100063324,7.7905964851379395,38.30009818077088,0,69.38670206069946,0,66.60130047798157,65.50079894065857,3275.120599985123,0
rp.session.two.jdakka.017623.0007,12.201900005340574,1803.7395000457764,4168.199599981308,30.04769992828369,0.0011000633239746094,0.0987999439239502,1522707334.1679,4135.098600149156,0.30499982833862305,7.702699899673463,2536.908700466156,0.3300991058349609,21.460000038146973,exp2,1600,1600,1,1,1,200,200,0,rp.session.two.jdakka.017623.0007,42.09070014953613,0,0,0,5.3682000637054434,4213.879500150681,4160.2204999923715,1.7902016639709473,8.088400363922121,0,16.894100666046146,0,13.164599657058716,15.65699863433838,4135.120099782944,0
rp.session.two.jdakka.017614.0003,9.15339994430542,31176.264500141144,3523.351599931717,45.66729998588562,0.0009999275207519533,0.10360002517700197,1521921878.1002,3489.4123001098633,0.7385034561157227,18.82020115852356,1998.1449000835416,1.004899263381958,46.527499675750725,exp4,3200,3200,1,1,1,400,400,0,rp.session.two.jdakka.017614.0003,42.61159992218017,0,0,0,7.129299879074098,3577.962799787521,3517.5404000282288,4.208398103713988,19.565100193023678,0,28.579399585723877,0,27.421300649642944,26.73320198059082,3489.422000169754,0
rp.session.two.jdakka.017628.0002,18.771700143814087,49410.518300294876,4280.8983998298645,32.896299839019775,0.0008001327514648438,0.10879993438720703,1523132245.9437993,4230.714799880981,0.6631004810333252,33.10830307006836,2565.5154991149902,0.818598747253418,43.946399450302124,exp8,3200,3200,1,1,1,400,400,0,rp.session.two.jdakka.017628.0002,256.0907998085022,0,0,0,13.251100063323975,4543.917299985886,4271.052500009537,32.006900787353516,33.822001934051514,0,51.72540020942688,0,44.33359885215759,49.52149987220764,4230.789299964905,0
