,AGENT_EXECUTING,AGENT_EXECUTING_PENDING,AGENT_SCHEDULING,AGENT_SCHEDULING_PENDING,AGENT_STAGING_INPUT,AGENT_STAGING_INPUT_PENDING,AGENT_STAGING_OUTPUT,AGENT_STAGING_OUTPUT_PENDING,CANCELED,DONE,FAILED,NEW,UMGR_SCHEDULING,UMGR_SCHEDULING_PENDING,UMGR_STAGING_INPUT,UMGR_STAGING_INPUT_PENDING,UMGR_STAGING_OUTPUT,UMGR_STAGING_OUTPUT_PENDING,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,hid,pid,sid,uid,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
0,13170.283100128174,13170.280500173569,13170.274500131607,13170.271900177002,13170.2132999897,13168.209599971771,13239.645800113678,13239.643300056458,,13241.721899986267,,13168.105599880219,13168.206799983978,13168.205799818039,13168.208499908447,13168.207199811935,13241.72169995308,13239.66000008583,69.36019992828369,0.002599954605102539,0.002599954605102539,0.006000041961669922,0.0010001659393310547,0.10019993782043457,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000000,0.006000041961669922,0.0074999332427978516,,0.06060004234313965,,0.06769990921020508,0.04649996757507324,69.37189984321594,
1,13170.333899974823,13170.294600009918,13170.288800001144,13170.287500143051,13170.2132999897,13168.34399986267,13236.777500152588,13236.775600194931,,13237.714499950409,,13168.226599931717,13168.34099984169,13168.339899778366,13168.343399763107,13168.34149980545,13237.714199781418,13236.792100191116,66.44170022010803,0.0012998580932617188,0.039299964904785156,0.005800008773803711,0.0011000633239746094,0.11329984664916992,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000001,0.005500078201293945,0.04439997673034668,,0.06030011177062988,,0.06319999694824219,0.045600175857543945,66.49010014533997,
2,13170.383300065994,13170.311300039291,13170.305500030518,13170.304200172424,13170.2132999897,13168.481499910355,13237.084500074387,13237.082000017166,,13239.836599826813,,13168.368199825287,13168.47839999199,13168.477099895477,13168.479799985886,13168.478699922562,13239.836399793625,13237.101300001144,66.69869995117188,0.0012998580932617188,0.07200002670288086,0.005800008773803711,0.0013000965118408203,0.10890007019042969,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000002,0.00800013542175293,0.07710003852844238,,0.06120014190673828,,0.0642998218536377,0.04890012741088867,66.780100107193,
3,13170.435000181198,13170.326700210571,13170.321099996567,13170.319800138474,13170.2132999897,13168.622899770737,13236.67140007019,13236.669600009918,,13237.714499950409,,13168.506099939346,13168.620199918747,13168.619199991226,13168.62149977684,13168.620699882507,13237.714199781418,13236.688700199127,66.23459982872009,0.0012998580932617188,0.10829997062683105,0.0056002140045166016,0.0009999275207519531,0.11310005187988281,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000003,0.004999876022338867,0.11320018768310547,,0.07410001754760742,,0.06389999389648438,0.04850006103515625,66.35230016708374,
4,13170.483300209045,13170.34350013733,13170.337500095367,13170.336100101471,13170.2132999897,13168.763399839401,13236.690299987793,13236.672000169754,,13237.714499950409,,13168.65299987793,13168.760599851608,13168.759599924088,13168.761799812317,13168.76089978218,13237.714199781418,13236.707400083542,66.18869996070862,0.001399993896484375,0.1398000717163086,0.006000041961669922,0.0009999275207519531,0.10660004615783691,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000004,0.005199909210205078,0.14500021934509277,,0.0634000301361084,,0.06579995155334473,0.048999786376953125,66.35220003128052,
5,13170.532200098038,13170.360000133514,13170.353900194168,13170.352600097656,13170.2132999897,13168.880799770355,13237.902899980545,13237.900900125504,,13239.836599826813,,13168.774999856949,13168.879499912262,13168.878099918365,13168.880399942398,13168.87969994545,13239.836399793625,13237.916400194168,67.36870002746582,0.0013000965118408203,0.17219996452331543,0.0060999393463134766,0.001399993896484375,0.10310006141662598,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000005,0.005800008773803711,0.1774001121520996,,0.060899972915649414,,0.0634000301361084,0.04640007019042969,67.55140018463135,
6,13171.334400177002,13171.332499980927,13171.326600074768,13171.324900150299,13171.305200099945,13169.447599887848,13237.79960012436,13237.797300100327,,13239.836599826813,,13168.895099878311,13169.445399999619,13169.444499969482,13169.4468998909,13169.445699930191,13239.836399793625,13237.824700117111,66.46289992332458,0.0016999244689941406,0.0019001960754394531,0.005899906158447266,0.0009000301361083984,0.5494000911712646,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000006,0.005299806594848633,0.006999969482421875,,0.06229996681213379,,0.06880021095275879,0.048599958419799805,66.47399997711182,
7,13171.386500120163,13171.375900030136,13171.345300197601,13171.343200206757,13171.305200099945,13169.589299917221,13238.31500005722,13238.313100099564,,13239.836599826813,,13169.476099967957,13169.587799787521,13169.586499929428,13169.58879995346,13169.588099956512,13239.836399793625,13238.331799983978,66.92659997940063,0.0020999908447265625,0.010600090026855469,0.03059983253479004,0.0012998580932617188,0.11039996147155762,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000007,0.0065000057220458984,0.03960013389587402,,0.0766000747680664,,0.07089996337890625,0.050099849700927734,66.97100019454956,
8,13171.442800045013,13171.398800134659,13171.391800165176,13171.389700174332,13171.305200099945,13169.710999965668,13238.727600097656,13238.72570014,,13239.836599826813,,13169.603799819946,13169.709699869156,13169.708499908447,13169.710599899292,13169.709999799728,13239.836399793625,13238.741300106049,67.28290009498596,0.0020999908447265625,0.04399991035461426,0.006999969482421875,0.001199960708618164,0.10470008850097656,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000008,0.006400108337402344,0.04979991912841797,,0.06690001487731934,,0.0707998275756836,0.05229997634887695,67.33689999580383,
9,13171.498399972916,13171.414000034332,13171.407600164413,13171.406100034714,13171.305200099945,13169.854199886322,13238.212000131607,13238.209400177002,,13239.836599826813,,13169.741899967194,13169.85269999504,13169.851199865341,13169.853699922562,13169.852999925613,13239.836399793625,13238.226400136948,66.7110002040863,0.0015001296997070312,0.08439993858337402,0.006399869918823242,0.0015001296997070312,0.10929989814758301,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000009,0.006000041961669922,0.08989977836608887,,0.0708000659942627,,0.06599998474121094,0.054399967193603516,66.80619978904724,
