,AGENT_EXECUTING,AGENT_EXECUTING_PENDING,AGENT_SCHEDULING,AGENT_SCHEDULING_PENDING,AGENT_STAGING_INPUT,AGENT_STAGING_INPUT_PENDING,AGENT_STAGING_OUTPUT,AGENT_STAGING_OUTPUT_PENDING,CANCELED,DONE,FAILED,NEW,UMGR_SCHEDULING,UMGR_SCHEDULING_PENDING,UMGR_STAGING_INPUT,UMGR_STAGING_INPUT_PENDING,UMGR_STAGING_OUTPUT,UMGR_STAGING_OUTPUT_PENDING,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,hid,pid,sid,uid,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
10,13171.548200130463,13171.431600093842,13171.423500061035,13171.422100067139,13171.305200099945,13169.987399816513,13237.918100118637,13237.9023001194,,13239.836599826813,,13169.874299764633,13169.9820997715,13169.979199886322,13169.986899852753,13169.982499837875,13239.836399793625,13237.931699991226,66.35409998893738,0.001399993896484375,0.11660003662109375,0.008100032806396484,0.0028998851776123047,0.10490012168884277,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000010,0.006200075149536133,0.12339997291564941,,0.0699000358581543,,0.06679987907409668,0.05430006980895996,66.49709987640381,
11,13171.601600170135,13171.445399999619,13171.439300060272,13171.437900066376,13171.305200099945,13170.10269999504,13238.625,13238.62230014801,,13239.836599826813,,13170.000799894333,13170.101499795914,13170.100599765778,13170.102299928665,13170.101799964905,13239.836399793625,13238.639000177383,67.02069997787476,0.001399993896484375,0.15620017051696777,0.0060999393463134766,0.0009000301361083984,0.09979987144470215,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000011,0.005899906158447266,0.16140007972717285,,0.07399988174438477,,0.06890010833740234,0.05500006675720215,67.18639993667603,
12,13171.651200056076,13171.46430015564,13171.45590019226,13171.454400062561,13171.305200099945,13170.236799955368,13238.419600009918,13238.417700052261,,13239.836599826813,,13170.133599996567,13170.235299825668,13170.233499765396,13170.236399888992,13170.23559999466,13239.836399793625,13238.43449997902,66.7664999961853,0.0015001296997070312,0.18689990043640137,0.00839996337890625,0.0018000602722167969,0.0998997688293457,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000012,0.005700111389160156,0.1937999725341797,,0.07669997215270996,,0.0718998908996582,0.059599876403808594,66.96560001373291,
13,13171.705700159073,13171.491200208664,13171.483300209045,13171.482000112534,13171.305200099945,13170.368399858475,13239.850400209427,13239.847800016403,,13241.721899986267,,13170.245799779892,13170.36679983139,13170.365999937057,13170.367899894714,13170.367199897766,13241.72169995308,13239.863800048828,68.14209985733032,0.0013000965118408203,0.21449995040893555,0.007899999618530273,0.0007998943328857422,0.12020015716552734,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000013,0.005699872970581055,0.22119998931884766,,0.06690001487731934,,0.07680010795593262,0.050499916076660156,68.36870002746582,
14,13172.423200130463,13172.421100139618,13172.414800167084,13172.413000106812,13172.396399974823,13170.487899780273,13240.561600208282,13240.55930018425,,13241.721899986267,,13170.37769985199,13170.485799789429,13170.48459982872,13170.487499952316,13170.486299991608,13241.72169995308,13240.576100111008,68.13610005378723,0.0018000602722167969,0.0020999908447265625,0.0062999725341796875,0.001199960708618164,0.10689997673034668,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000014,0.005699872970581055,0.007400035858154297,,0.08439993858337402,,0.07240009307861328,0.058500051498413086,68.1489999294281,
15,13172.478300094604,13172.438700199127,13172.431600093842,13172.429600000381,13172.396399974823,13170.641199827194,13240.797600030899,13240.767000198364,,13241.721899986267,,13170.512699842453,13170.638799905777,13170.638099908829,13170.640699863434,13170.638999938965,13241.72169995308,13240.812600135803,68.28870010375977,0.002000093460083008,0.03959989547729492,0.007100105285644531,0.0006999969482421875,0.12540006637573242,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000015,0.011699914932250977,0.045599937438964844,,0.0728001594543457,,0.07319998741149902,0.05519986152648926,68.36069989204407,
16,13172.539100170135,13172.454200029373,13172.447100162506,13172.44570016861,13172.396399974823,13170.844799995422,13239.438700199127,13239.436400175095,,13241.721899986267,,13170.67779994011,13170.842399835587,13170.841599941254,13170.844099998474,13170.843199968338,13241.72169995308,13239.452500104904,66.8973000049591,0.001399993896484375,0.0849001407623291,0.00709986686706543,0.0007998943328857422,0.16380000114440918,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000016,0.00599980354309082,0.09090018272399902,,0.0822000503540039,,0.07039999961853027,0.0615999698638916,66.99240016937256,
17,13172.593300104141,13172.47100019455,13172.463999986649,13172.462599992752,13172.396399974823,13170.997899770737,13239.866600036621,13239.848900079727,,13241.721899986267,,13170.871099948883,13170.996299982071,13170.995099782944,13170.997399806976,13170.996599912643,13241.72169995308,13239.880300045013,67.25559997558594,0.001399993896484375,0.1222999095916748,0.0070002079010009766,0.0012001991271972656,0.12399983406066895,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000017,0.005800008773803711,0.12820005416870117,,0.08940005302429199,,0.08299994468688965,0.0671999454498291,67.40440011024475,
18,13172.654000043869,13172.48810005188,13172.481700181961,13172.480100154877,13172.396399974823,13171.126499891281,13241.589600086212,13241.587700128555,,13243.287799835205,,13171.016699790955,13171.120699882507,13171.119799852371,13171.121699810028,13171.12099981308,13243.287599802017,13241.603100061417,68.93370008468628,0.001600027084350586,0.16589999198913574,0.006399869918823242,0.0009000301361083984,0.10310006141662598,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000018,0.0062999725341796875,0.17120003700256348,,0.09920001029968262,,0.08050012588500977,0.07789993286132812,69.1094000339508,
19,13172.710200071335,13172.510300159454,13172.503800153732,13172.502200126648,13172.396399974823,13171.23159980774,13241.60790014267,13241.5898001194,,13243.287799835205,,13171.127899885178,13171.22889995575,13171.22789978981,13171.231099843979,13171.229199886322,13243.287599802017,13241.621299982071,68.87960004806519,0.001600027084350586,0.19989991188049316,0.0065000057220458984,0.0010001659393310547,0.09999990463256836,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000019,0.006400108337402344,0.20530009269714355,,0.09910011291503906,,0.29689979553222656,0.06699991226196289,69.10310006141663,
20,13172.7609000206,13172.527600049973,13172.521300077438,13172.519800186157,13172.396399974823,13171.341599941254,13241.078100204468,13241.07590007782,,13243.287799835205,,13171.238999843597,13171.340099811554,13171.33879995346,13171.341099977493,13171.340399980545,13243.287599802017,13241.091600179672,68.31500005722046,0.0014998912811279297,0.23329997062683105,0.0062999725341796875,0.0012998580932617188,0.09980010986328125,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000020,0.005500078201293945,0.2386000156402588,,0.24919986724853516,,0.07410001754760742,0.22879981994628906,68.5576000213623,
21,13172.816600084305,13172.547700166702,13172.54019999504,13172.538600206375,13172.396399974823,13171.463599920273,13239.544700145721,13239.540000200272,,13241.721899986267,,13171.350499868393,13171.461599826813,13171.46079993248,13171.463099956512,13171.461899995804,13241.72169995308,13239.55980014801,66.7234001159668,0.0015997886657714844,0.26889991760253906,0.007500171661376953,0.0007998943328857422,0.11030006408691406,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000021,0.008300065994262695,0.27500009536743164,,0.08299994468688965,,0.22149991989135742,0.06500005722045898,67.0032000541687,
22,13173.52210021019,13173.520200014114,13173.513000011444,13173.51120018959,13173.491700172424,13171.600599765778,13241.897500038147,13241.895699977875,,13243.287799835205,,13171.472899913788,13171.599199771881,13171.59819984436,13171.60019993782,13171.599499940872,13243.287599802017,13241.911499977112,68.37359976768494,0.0017998218536376953,0.0019001960754394531,0.007200002670288086,0.0009999275207519531,0.12529993057250977,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000022,0.008199930191040039,0.007800102233886719,,0.09080004692077637,,0.073699951171875,0.0727999210357666,68.38619995117188,
23,13173.581900119781,13173.54390001297,13173.537500143051,13173.535700082779,13173.491700172424,13171.715799808502,13241.385500192642,13241.383500099182,,13243.287799835205,,13171.611799955368,13171.712699890137,13171.71179986,13171.715199947357,13171.7132999897,13243.287599802017,13241.399900197983,67.80159997940063,0.0018000602722167969,0.03800010681152344,0.006399869918823242,0.0009000301361083984,0.09999990463256836,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000023,0.0062999725341796875,0.043200016021728516,,0.08570003509521484,,0.08360004425048828,0.06480002403259277,67.84969997406006,
24,13173.63639998436,13173.564800024033,13173.558000087738,13173.555900096893,13173.491700172424,13171.846399784088,13240.87230014801,13240.870200157166,,13241.721899986267,,13171.730099916458,13171.842699766159,13171.841599941254,13171.843599796295,13171.842899799347,13241.72169995308,13240.88620018959,67.23380017280579,0.0020999908447265625,0.07159996032714844,0.006799936294555664,0.0010998249053955078,0.11150002479553223,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000024,0.015500068664550781,0.07719993591308594,,0.09909987449645996,,0.07590007781982422,0.07349991798400879,67.31620001792908,
25,13173.703600168228,13173.584900140762,13173.577700138092,13173.575999975204,13173.491700172424,13171.990499973297,13240.766100168228,13240.76390004158,,13241.721899986267,,13171.869799852371,13171.987899780273,13171.986899852753,13171.989599943161,13171.988199949265,13241.72169995308,13240.779900074005,67.06029987335205,0.0017001628875732422,0.11870002746582031,0.007200002670288086,0.0009999275207519531,0.11710000038146973,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000025,0.006000041961669922,0.12460017204284668,,0.0940999984741211,,0.0801999568939209,0.07049989700317383,67.19050002098083,
26,13173.758300065994,13173.60420012474,13173.596899986267,13173.595200061798,13173.491700172424,13172.119099855423,13242.916400194168,13242.914300203323,,13245.034899950027,,13171.999599933624,13172.11329984665,13172.112299919128,13172.118599891663,13172.117999792099,13245.034599781036,13242.930200099945,69.1560001373291,0.0016999244689941406,0.1540999412536621,0.007300138473510742,0.0009999275207519531,0.11269998550415039,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000026,0.014800071716308594,0.16000008583068848,,0.0943000316619873,,0.08279991149902344,0.07239985466003418,69.32039999961853,
27,13173.827000141144,13173.625400066376,13173.61610007286,13173.614500045776,13173.491700172424,13172.237799882889,13240.782299995422,13240.765100002289,,13241.721899986267,,13172.133599996567,13172.235899925232,13172.234899997711,13172.237299919128,13172.236399888992,13241.72169995308,13240.79540014267,66.93809986114502,0.001600027084350586,0.2016000747680664,0.009299993515014648,0.0009999275207519531,0.10130000114440918,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000027,0.00950002670288086,0.20950007438659668,,0.09310007095336914,,0.08819985389709473,0.07240009307861328,67.16079998016357,
28,13173.893300056458,13173.643000125885,13173.635500192642,13173.633800029755,13173.491700172424,13172.384199857712,13241.093100070953,13241.077300071716,,13243.287799835205,,13172.263799905777,13172.38269996643,13172.381799936295,13172.383699893951,13172.382999897003,13243.287599802017,13241.106500148773,67.18400001525879,0.0017001628875732422,0.25029993057250977,0.0074999332427978516,0.0009000301361083984,0.11800003051757812,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000028,0.006600141525268555,0.2562999725341797,,0.08610010147094727,,0.08659982681274414,0.0634000301361084,67.4507999420166,
29,13173.952600002289,13173.672800064087,13173.665400028229,13173.663500070572,13173.491700172424,13172.500699996948,13240.888700008392,13240.871400117874,,13241.721899986267,,13172.389999866486,13172.499199867249,13172.498299837112,13172.50019979477,13172.499499797821,13241.72169995308,13240.901900053024,66.91880011558533,0.0018999576568603516,0.2797999382019043,0.007400035858154297,0.0009000301361083984,0.10829997062683105,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000029,0.007899999618530273,0.2857999801635742,,0.08350014686584473,,0.07990002632141113,0.06259989738464355,67.22530007362366,
30,13174.6140999794,13174.61210012436,13174.604700088501,13174.603000164032,13174.584700107574,13172.617899894714,13243.646300077438,13243.644400119781,,13245.034899950027,,13172.506499767303,13172.61629986763,13172.614799976349,13172.617399930954,13172.616599798203,13245.034599781036,13243.701200008392,69.03030014038086,0.0016999244689941406,0.0019998550415039062,0.007400035858154297,0.0014998912811279297,0.10830020904541016,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000030,0.010100126266479492,0.007899999618530273,,0.12930011749267578,,0.19359993934631348,0.07669997215270996,69.04300022125244,
31,13174.669300079346,13174.631500005722,13174.624200105667,13174.622699975967,13174.584700107574,13172.73509979248,13242.508300065994,13242.506299972534,,13245.034899950027,,13172.62399983406,13172.733199834824,13172.732199907303,13172.734200000763,13172.733399868011,13245.034599781036,13242.524000167847,67.83699989318848,0.0015001296997070312,0.03780007362365723,0.007299900054931641,0.0009999275207519531,0.1082000732421875,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000031,0.006999969482421875,0.04369997978210449,,0.10260009765625,,0.19280004501342773,0.07850003242492676,67.8856999874115,
32,13174.732100009918,13174.649500131607,13174.642100095749,13174.640600204468,13174.584700107574,13172.85269999504,13242.93180012703,13242.91589999199,,13245.034899950027,,13172.74799990654,13172.851299762726,13172.850099802017,13172.852299928665,13172.851499795914,13245.034599781036,13242.947499990463,68.18379998207092,0.0014998912811279297,0.08259987831115723,0.007400035858154297,0.001199960708618164,0.10209989547729492,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000032,0.11370015144348145,0.0885000228881836,,0.10510015487670898,,0.09239983558654785,0.08000016212463379,68.30340003967285,
33,13174.902600049973,13174.671800136566,13174.664400100708,13174.662400007248,13174.584700107574,13172.97519993782,13243.339100122452,13243.337100028992,,13245.034899950027,,13172.863399982452,13172.973499774933,13172.972399950027,13172.97469997406,13172.973799943924,13245.034599781036,13243.560500144958,68.43449997901917,0.002000093460083008,0.23079991340637207,0.007400035858154297,0.0010998249053955078,0.10899996757507324,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000033,0.014300107955932617,0.23659992218017578,,0.10520005226135254,,0.08599996566772461,0.08159995079040527,68.6752998828888,
34,13174.971100091934,13174.693600177765,13174.686200141907,13174.68449997902,13174.584700107574,13173.114199876785,13242.94920015335,13242.917000055313,,13245.034899950027,,13172.999699831009,13173.112299919128,13173.11109995842,13173.113699913025,13173.112599849701,13245.034599781036,13242.964100122452,67.9458999633789,0.0017001628875732422,0.2774999141693115,0.007400035858154297,0.001199960708618164,0.11140012741088867,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000034,0.008300065994262695,0.2834000587463379,,0.10890007019042969,,0.09099984169006348,0.08680009841918945,68.28090000152588,
35,13175.03100013733,13174.865400075912,13174.85790014267,13174.856000185013,13174.584700107574,13173.253599882126,13243.025900125504,13243.023900032043,,13245.034899950027,,13173.120199918747,13173.252499818802,13173.251699924469,13173.253299951553,13173.252799987793,13245.034599781036,13243.044200181961,67.99289989471436,0.0018999576568603516,0.16560006141662598,0.0074999332427978516,0.0007998943328857422,0.1315000057220459,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000035,0.009299993515014648,0.17149996757507324,,0.10419988632202148,,0.07809996604919434,0.08159995079040527,68.17429995536804,
36,13175.09030008316,13174.883800029755,13174.876399993896,13174.874700069427,13174.584700107574,13173.374799966812,13242.966200113297,13242.918100118637,,13245.034899950027,,13173.26189994812,13173.3734998703,13173.370199918747,13173.374499797821,13173.373799800873,13245.034599781036,13242.98540019989,67.82780003547668,0.0016999244689941406,0.20650005340576172,0.007400035858154297,0.0032999515533447266,0.10829997062683105,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000036,0.007200002670288086,0.21239995956420898,,0.08800005912780762,,0.08439993858337402,0.06739997863769531,68.12619996070862,
37,13175.16200017929,13174.904400110245,13174.89610004425,13174.894000053406,13174.584700107574,13173.488699913025,13244.702600002289,13244.699900150299,,13247.10739994049,,13173.381399869919,13173.485999822617,13173.48459982872,13173.487299919128,13173.486199855804,13247.107199907303,13244.716799974442,69.5378999710083,0.0020999908447265625,0.2576000690460205,0.008300065994262695,0.001399993896484375,0.10319995880126953,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000037,0.005899906158447266,0.26419997215270996,,0.10940003395080566,,0.08279991149902344,0.08239984512329102,69.8066999912262,
38,13175.217600107193,13174.932100057602,13174.924700021744,13174.920300006866,13174.584700107574,13173.611499786377,13242.98710012436,13242.919200181961,,13245.034899950027,,13173.496799945831,13173.610299825668,13173.609200000763,13173.61109995842,13173.61059999466,13245.034599781036,13243.004899978638,67.70160007476807,0.004400014877319336,0.28550004959106445,0.007400035858154297,0.0010998249053955078,0.11240005493164062,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000038,0.009200096130371094,0.29130005836486816,,0.13010001182556152,,0.10229992866516113,0.1110999584197998,68.092600107193,
39,13175.727900028229,13175.72570014,13175.71700000763,13175.715100049973,13175.697100162506,13173.719199895859,13243.70290017128,13243.64560008049,,13245.034899950027,,13173.616699934006,13173.717699766159,13173.716599941254,13173.718699932098,13173.71799993515,13245.034599781036,13243.725600004196,67.91770005226135,0.0018999576568603516,0.002199888229370117,0.008700132369995117,0.0010998249053955078,0.0999000072479248,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000039,0.007100105285644531,0.008899927139282227,,0.08879995346069336,,0.08279991149902344,0.06669998168945312,67.9530999660492,
40,13175.788300037384,13175.74530005455,13175.73710012436,13175.734899997711,13175.697100162506,13173.913599967957,13244.719099998474,13244.702700138092,,13247.10739994049,,13173.744799852371,13173.911699771881,13173.910799980164,13173.91319990158,13173.911999940872,13247.107199907303,13244.736700057983,68.91440010070801,0.0022001266479492188,0.042999982833862305,0.008199930191040039,0.0008997917175292969,0.1660001277923584,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000040,0.012099981307983398,0.04939985275268555,,0.08430004119873047,,0.08350014686584473,0.06570005416870117,68.99499988555908,
41,13175.856000185013,13175.76440000534,13175.75570011139,13175.753900051117,13175.697100162506,13174.03269982338,13243.234100103378,13243.231500148773,,13245.034899950027,,13173.92359995842,13174.031399965286,13174.030699968338,13174.032299995422,13174.031699895859,13245.034599781036,13243.253800153732,67.37549996376038,0.0018000602722167969,0.09160017967224121,0.008699893951416016,0.0006999969482421875,0.10710000991821289,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000041,0.009999990463256836,0.09829998016357422,,0.08450007438659668,,0.07439994812011719,0.062399864196777344,67.47869992256165,
42,13175.916000127792,13175.782800197601,13175.774399995804,13175.77210021019,13175.697100162506,13174.158599853516,13243.727500200272,13243.646800041199,,13245.034899950027,,13174.044499874115,13174.157399892807,13174.15649986267,13174.158299922943,13174.15769982338,13245.034599781036,13243.753800153732,67.73079991340637,0.002299785614013672,0.13319993019104004,0.008400201797485352,0.0009000301361083984,0.1119999885559082,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000042,0.007799863815307617,0.1398000717163086,,0.12280011177062988,,0.07380008697509766,0.09749984741210938,67.91950011253357,
43,13175.974100112915,13175.804900169373,13175.795500040054,13175.793500185013,13175.697100162506,13174.287899971008,13244.065299987793,13244.059900045395,,13245.034899950027,,13174.171399831772,13174.283899784088,13174.282899856567,13174.28739976883,13174.285099983215,13245.034599781036,13244.078600168228,68.08579993247986,0.0019998550415039062,0.16919994354248047,0.009400129318237305,0.0009999275207519531,0.11150002479553223,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000043,0.0074999332427978516,0.17680001258850098,,0.11240005493164062,,0.07690000534057617,0.09009981155395508,68.2671000957489,
44,13176.03100013733,13175.827500104904,13175.818799972534,13175.815800189972,13175.697100162506,13174.394699811935,13243.856800079346,13243.85370016098,,13245.034899950027,,13174.291499853134,13174.39209985733,13174.391299962997,13174.394299983978,13174.392399787903,13245.034599781036,13243.902100086212,67.82270002365112,0.0029997825622558594,0.20350003242492676,0.008700132369995117,0.0007998943328857422,0.09980010986328125,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000044,0.010400056838989258,0.2100999355316162,,0.14889979362487793,,0.10409998893737793,0.127000093460083,68.03769993782043,
45,13176.097599983215,13175.850900173187,13175.842700004578,13175.840100049973,13175.697100162506,13174.51909995079,13243.755599975586,13243.647900104523,,13245.034899950027,,13174.416599988937,13174.517799854279,13174.516499996185,13174.518699884415,13174.518199920654,13245.034599781036,13243.795200109482,67.55030012130737,0.002599954605102539,0.24669981002807617,0.00820016860961914,0.0012998580932617188,0.0999000072479248,exp5,nid25349,pilot.0000,rp.session.two.jdakka.017623.0003,unit.000045,0.01250004768371582,0.25299978256225586,,0.13559985160827637,,0.11070013046264648,0.1100001335144043,67.8734998703003,
