,NEW,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
rp.session.two.jdakka.017623.0003,14.10920000076294,13103.335000276566,4011.461499929428,48.46719980239868,0.0009000301361083984,0.0987999439239502,1522641390.1878998,3979.1085000038147,1.3703022003173828,38.67950105667114,1884.0069012641907,1.2763006687164309,81.60669898986815,exp5,5760,5760,1,1,1,720,720,0,rp.session.two.jdakka.017623.0003,47.47420001029968,0,0,0,6.353099822998048,4067.249899864197,4001.846600055695,11.654101610183716,40.343599557876594,0,61.021300554275506,0,57.11789965629578,58.41079568862915,3979.1198999881744,0
rp.session.two.jdakka.017614.0004,16.714600086212158,5109.242100000382,2387.7525000572205,48.201600074768066,0.0009000301361083984,0.10669994354248047,1521921925.4958,2354.8483998775478,0.5582015514373779,22.93309998512268,751.4626994132996,0.6692955493927002,37.821502923965454,exp1,2880,2880,1,1,1,360,360,0,rp.session.two.jdakka.017614.0004,45.60010004043579,0,0,0,7.8451998233795175,2437.1870999336247,2380.9744000434875,10.338198423385618,23.55939865112305,0,29.170000314712524,0,27.196502208709717,27.81809973716736,2354.8645000457764,0
rp.session.two.jdakka.017623.0004,13.844799995422365,13491.434499979021,2379.937700033188,47.68779993057251,0.0009000301361083984,0.10899996757507324,1522639778.6375,2343.869600057602,0.5423996448516846,16.786901950836178,737.0728001594542,0.7712028026580809,42.755497217178345,exp2,2880,2880,1,1,1,360,360,0,rp.session.two.jdakka.017623.0004,45.84540009498596,0,0,0,6.548799991607666,2425.380500078201,2370.636500120163,4.029099225997925,17.4889018535614,0,27.978302001953125,0,25.46370005607605,26.392000675201416,2343.8787999153133,0
rp.session.two.jdakka.017624.0002,13.37630009651184,425.40149998664856,2375.5088999271397,47.67630004882813,0.0009999275207519533,0.10899996757507324,1522724235.6127,2341.5682001113887,0.5446987152099609,15.897801399230955,741.1833019256592,0.5978989601135254,38.39189887046814,exp3,2880,2880,1,1,1,360,360,0,rp.session.two.jdakka.017624.0002,42.84249997138978,0,0,0,6.4249000549316415,2416.3427000045776,2365.233999967575,3.522199869155884,16.643699884414673,0,27.698800563812256,0,25.416801929473877,26.13759803771973,2341.577800035477,0
rp.session.two.jdakka.017624.0003,13.613999843597412,12286.062299966812,4009.98810005188,49.13260006904602,0.001399993896484375,0.10470008850097656,1522725911.9596,3975.18549990654,1.4191012382507324,38.84709858894348,1859.3831989765167,1.3914992809295654,88.22229981422424,exp6,5760,5760,1,1,1,720,720,0,rp.session.two.jdakka.017624.0003,40.43329977989197,0,0,0,5.395500183105469,4048.647300004959,4000.0044000148773,13.646700382232666,40.61830019950867,0,62.16550135612488,0,55.97159957885742,59.634601354599,3975.1974999904633,0
