,CANCELED,DONE,FAILED,NEW,PMGR_ACTIVE,PMGR_ACTIVE_PENDING,PMGR_LAUNCHING,PMGR_LAUNCHING_PENDING,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid,util_p_boot,util_p_orte,util_p_setup_1,util_p_setup_2,util_p_term,util_p_total,util_p_uexec
0,17177.472599983215,,,14.10920000076294,13166.011100053787,62.67609977722168,14.208899974822998,14.20799994468689,13103.335000276566,4011.461499929428,48.46719980239868,0.0009000301361083984,0.0987999439239502,exp5,nid25349,5760,720,pilot.0000,rp.session.two.jdakka.017623.0003,47.47420001029968,,,,6.353099822998047,4067.249899864197,4001.8466000556946
0,7562.018400192261,,,16.714600086212158,5174.26590013504,65.02380013465881,16.822200059890747,16.82130002975464,5109.2421000003815,2387.7525000572205,48.201600074768066,0.0009000301361083984,0.10669994354248047,exp1,nid25329,2880,360,pilot.0000,rp.session.two.jdakka.017614.0004,45.60010004043579,,,,7.845199823379517,2437.1870999336243,2380.9744000434875
0,15933.014699935913,,,13.844799995422363,13553.076999902725,61.642499923706055,13.954699993133545,13.953799962997437,13491.43449997902,2379.937700033188,47.68779993057251,0.0009000301361083984,0.10899996757507324,exp2,nid27639,2880,360,pilot.0000,rp.session.two.jdakka.017623.0004,45.84540009498596,,,,6.548799991607666,2425.3805000782013,2370.636500120163
0,2862.0729999542236,,,13.37630009651184,486.56410002708435,61.16260004043579,13.486299991607666,13.485300064086914,425.40149998664856,2375.5088999271393,47.676300048828125,0.0009999275207519531,0.10899996757507324,exp3,nid25351,2880,360,pilot.0000,rp.session.two.jdakka.017624.0002,42.84249997138977,,,,6.424900054931641,2416.3427000045776,2365.233999967575
0,16358.903100013733,,,13.613999843597412,12348.914999961853,62.852699995040894,13.720099925994873,13.718699932098389,12286.062299966812,4009.98810005188,49.13260006904602,0.001399993896484375,0.10470008850097656,exp6,nid27559,5760,720,pilot.0000,rp.session.two.jdakka.017624.0003,40.43329977989197,,,,5.395500183105469,4048.647300004959,4000.0044000148773
